episode,win,reward,steps,trial_count,epsilon,w_norm
1,0,0.1000,3,8,0.30000,0.0169
2,0,6.9000,9,64,0.29985,0.2566
3,0,-1.0000,1,1,0.29970,0.2286
4,0,5.9000,4,64,0.29955,0.3919
5,0,6.9000,8,66,0.29940,0.6459
6,0,7.2000,12,61,0.29925,0.7785
7,0,-0.4000,3,3,0.29910,0.6717
8,0,3.9000,7,38,0.29895,0.7380
9,0,-1.0000,1,1,0.29880,0.6894
10,0,1.9000,3,26,0.29865,0.6425
11,0,1.6000,7,15,0.29850,0.5863
12,0,3.6000,4,41,0.29835,0.5924
13,0,2.5000,2,34,0.29820,0.6075
14,0,-0.7000,2,2,0.29806,0.5370
15,0,7.1000,11,62,0.29791,0.8512
16,0,-1.0000,1,1,0.29776,0.7986
17,0,-1.0000,1,1,0.29761,0.7482
18,0,4.1000,3,48,0.29746,0.7681
19,0,5.7000,10,50,0.29731,0.9418
20,0,-0.4000,3,3,0.29716,0.8212
21,0,6.8000,9,63,0.29701,0.9036
22,0,5.9000,5,62,0.29687,1.0484
23,0,2.6000,7,25,0.29672,1.0011
24,0,5.6000,5,59,0.29657,1.1474
25,0,6.7000,7,66,0.29642,1.3317
26,0,6.5000,8,62,0.29627,1.4228
27,0,5.9000,6,60,0.29612,1.4715
28,0,1.3000,3,20,0.29598,1.3509
29,0,6.9000,8,66,0.29583,1.5238
30,0,4.7000,2,56,0.29568,1.5140
31,0,5.7000,9,52,0.29553,1.4808
32,0,6.8000,10,61,0.29538,1.5268
33,0,3.4000,5,37,0.29524,1.4394
34,0,-1.0000,1,1,0.29509,1.3685
35,0,-1.0000,1,1,0.29494,1.3007
36,0,0.5000,6,6,0.29479,1.1276
37,0,7.9000,18,56,0.29465,1.4744
38,0,4.4000,3,51,0.29450,1.4837
39,0,2.2000,5,25,0.29435,1.3817
40,0,-1.0000,1,1,0.29421,1.3152
41,0,2.7000,4,32,0.29406,1.2796
42,0,5.3000,4,58,0.29391,1.3184
43,0,5.1000,4,56,0.29376,1.3557
44,0,-0.7000,2,2,0.29362,1.2592
45,0,5.7000,2,66,0.29347,1.3198
46,0,4.9000,2,58,0.29332,1.3653
47,0,3.5000,2,44,0.29318,1.3468
48,0,6.7000,11,58,0.29303,1.5351
49,0,3.5000,5,38,0.29288,1.4526
50,0,-0.1000,4,4,0.29274,1.2946
51,0,7.0000,10,63,0.29259,1.5301
52,0,4.2000,6,43,0.29244,1.4938
53,0,5.9000,8,56,0.29230,1.6326
54,0,5.3000,4,58,0.29215,1.6908
55,0,5.4000,8,51,0.29201,1.7173
56,0,-0.1000,4,4,0.29186,1.5253
57,0,0.5000,3,12,0.29171,1.4192
58,0,-1.0000,1,1,0.29157,1.3594
59,0,5.3000,6,54,0.29142,1.3588
60,0,-1.0000,1,1,0.29128,1.3041
61,0,8.7000,20,60,0.29113,1.5611
62,0,7.5000,13,62,0.29099,1.7878
63,0,7.8000,15,61,0.29084,1.9713
64,0,7.7000,13,64,0.29069,2.1255
65,0,6.8000,8,65,0.29055,2.1819
66,0,3.9000,3,46,0.29040,2.0977
67,0,4.4000,2,53,0.29026,2.0682
68,0,7.2000,14,57,0.29011,2.2311
69,0,-1.0000,1,1,0.28997,2.1380
70,0,4.0000,2,49,0.28982,2.0958
71,0,3.5000,3,42,0.28968,2.0124
72,0,-1.0000,1,1,0.28953,1.9318
73,0,4.5000,2,54,0.28939,1.9165
74,0,3.8000,2,47,0.28924,1.9229
75,0,-0.7000,2,2,0.28910,1.8339
76,0,5.3000,4,58,0.28896,1.8964
77,0,2.2000,3,29,0.28881,1.8426
78,0,4.8000,5,51,0.28867,1.8325
79,0,6.3000,6,64,0.28852,1.8546
80,0,-0.4000,3,3,0.28838,1.7400
81,0,5.2000,7,51,0.28823,1.8034
82,0,4.7000,6,48,0.28809,1.8518
83,0,4.1000,5,44,0.28795,1.8297
84,0,6.8000,11,59,0.28780,1.9926
85,0,-1.0000,1,1,0.28766,1.9219
86,0,4.0000,2,49,0.28751,1.9059
87,0,-1.0000,1,1,0.28737,1.8410
88,0,-1.0000,1,1,0.28723,1.7799
89,0,5.7000,4,62,0.28708,1.8641
90,0,0.5000,6,6,0.28694,1.6923
91,0,6.0000,5,63,0.28680,1.7369
92,0,3.2000,4,37,0.28665,1.7221
93,0,7.0000,10,63,0.28651,1.8224
94,0,-1.0000,1,1,0.28637,1.7660
95,0,1.0000,2,19,0.28622,1.7086
96,0,4.2000,2,51,0.28608,1.7317
97,0,-1.0000,1,1,0.28594,1.6822
98,0,1.7000,6,18,0.28579,1.6116
99,0,-1.0000,1,1,0.28565,1.5710
100,0,3.3000,5,36,0.28551,1.5503
101,0,3.3000,2,42,0.28537,1.5528
102,0,-1.0000,1,1,0.28522,1.5183
103,0,7.8000,11,69,0.28508,1.6629
104,0,1.3000,3,20,0.28494,1.6046
105,0,5.5000,6,56,0.28479,1.6447
106,0,6.9000,8,66,0.28465,1.7936
107,0,6.0000,11,51,0.28451,1.8499
108,0,4.5000,4,50,0.28437,1.8828
109,0,0.5000,6,6,0.28423,1.7398
110,0,7.8000,12,67,0.28408,1.9058
111,0,-0.4000,3,3,0.28394,1.7910
112,0,3.1000,12,20,0.28380,1.7575
113,0,-0.1000,4,4,0.28366,1.6729
114,0,7.5000,17,54,0.28352,1.8795
115,0,8.0000,14,65,0.28337,2.1342
116,0,3.6000,6,37,0.28323,2.0507
117,0,-0.1000,4,4,0.28309,1.8994
118,0,4.5000,4,50,0.28295,1.8840
119,0,6.9000,10,62,0.28281,1.9875
120,0,-1.0000,1,1,0.28267,1.9333
121,0,4.4000,4,49,0.28253,1.9360
122,0,-0.7000,2,2,0.28238,1.8524
123,0,0.5000,6,6,0.28224,1.7389
124,0,7.4000,14,59,0.28210,1.9051
125,0,5.1000,10,44,0.28196,1.9695
126,0,-0.1000,4,4,0.28182,1.8695
127,0,4.4000,5,47,0.28168,1.8843
128,0,6.0000,9,55,0.28154,1.9157
129,0,4.1000,2,50,0.28140,1.9225
130,0,8.3000,14,68,0.28126,2.1039
131,0,-0.1000,4,4,0.28112,1.9661
132,0,-0.4000,3,3,0.28098,1.8677
133,0,5.7000,3,64,0.28083,1.9421
134,0,5.2000,2,61,0.28069,1.9777
135,0,6.0000,7,59,0.28055,2.0734
136,0,7.5000,11,66,0.28041,2.2174
137,0,4.3000,3,50,0.28027,2.2249
138,0,6.6000,12,55,0.28013,2.2991
139,0,7.4000,10,67,0.27999,2.4602
140,0,6.9000,7,68,0.27985,2.4957
141,0,8.3000,17,62,0.27971,2.6761
142,0,-1.0000,1,1,0.27957,2.5935
143,0,-1.0000,1,1,0.27943,2.5298
144,0,7.7000,15,60,0.27929,2.6932
145,0,-1.0000,1,1,0.27915,2.6110
146,0,2.7000,3,34,0.27901,2.5601
147,0,-1.0000,1,1,0.27888,2.4867
148,0,-0.1000,4,4,0.27874,2.3429
149,0,6.4000,11,55,0.27860,2.4267
150,0,2.0000,6,21,0.27846,2.3140
151,0,8.0000,18,57,0.27832,2.4115
152,0,7.3000,11,64,0.27818,2.5109
153,0,-1.0000,1,1,0.27804,2.4432
154,0,-0.7000,2,2,0.27790,2.3350
155,0,-0.4000,3,3,0.27776,2.2423
156,0,5.3000,6,54,0.27762,2.2533
157,0,7.3000,11,64,0.27748,2.4117
158,0,3.9000,6,40,0.27735,2.3537
159,0,-0.4000,3,3,0.27721,2.2569
160,0,5.4000,4,59,0.27707,2.2733
161,0,7.5000,11,66,0.27693,2.3727
162,0,0.6000,3,13,0.27679,2.2773
163,0,6.7000,7,66,0.27665,2.3621
164,0,6.2000,3,69,0.27651,2.4067
165,0,6.8000,9,63,0.27638,2.5112
166,0,4.2000,4,47,0.27624,2.5075
167,0,6.7000,7,66,0.27610,2.5440
168,0,-0.7000,2,2,0.27596,2.4406
169,0,3.1000,2,40,0.27582,2.4203
170,0,-0.7000,2,2,0.27569,2.3333
171,0,0.2000,5,5,0.27555,2.2161
172,0,5.4000,6,55,0.27541,2.3058
173,0,-1.0000,1,1,0.27527,2.2639
174,0,3.1000,7,30,0.27513,2.2353
175,0,2.1000,3,28,0.27500,2.2200
176,0,4.8000,5,51,0.27486,2.2586
177,0,-1.0000,1,1,0.27472,2.2240
178,0,0.2000,5,5,0.27458,2.1460
179,0,0.9000,2,18,0.27445,2.1234
180,0,7.2000,10,65,0.27431,2.2480
181,0,0.9000,3,16,0.27417,2.2196
182,0,3.0000,5,33,0.27404,2.2289
183,0,6.5000,13,52,0.27390,2.3342
184,0,3.9000,5,42,0.27376,2.3476
185,0,5.9000,11,50,0.27363,2.4579
186,0,4.4000,7,43,0.27349,2.4798
187,0,-1.0000,1,1,0.27335,2.4342
188,0,5.5000,2,64,0.27322,2.4671
189,0,7.6000,13,63,0.27308,2.5678
190,0,-0.7000,2,2,0.27294,2.4791
191,0,-0.7000,2,2,0.27281,2.4051
